SD-BODY:1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
SD-BODY0.5:1,1,1,1,1,1,0.2,1,0.2,0,0,0.8,1,1,1,1,1
SD-FACE:1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
SD-FACE0.5:1,0,0,0,0,0,0,0,0.8,1,1,0.2,0,0,0,0,0
SD-FACE0.2:1,0,0,0,0,0,0,0,0.2,0.6,0.8,0.2,0,0,0,0,0
SD-HAND:1,0,1,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0
SD-CLOTHING:1,1,1,1,1,0,0.2,0,0.8,1,1,0.2,0,0,0,0,0
SD-POSE:1,0,0,0,0,0,0.2,1,1,1,0,0,0,0,0,0,0
SD-PALETTE:1,0,0,0,0,0,0,0,0,0,0,0.8,1,1,1,1,1
SD-KEEPCHAR:1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0
SD-KEEPBG:1,1,1,1,1,1,0.2,1,0.2,0,0,0.8,1,1,1,0,0
SD-REDUCEFIT:1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
SD-LyCOBODY:1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1
SD-LyCOBODY0.5:1,1,1,1,1,1,1,1,1,0.2,0.2,0.5,1,1,0,0,0,0.2,0,0,0.8,1,1,1,1
SD-LyCOFACE:1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
SD-LyCOFACE0.5:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,0.8,1,1,1,0.2,0,0,0,0,0
SD-LyCOCLOTH:1,1,1,1,1,1,1,1,0,0.2,0.2,0.2,0,0,0,0,0.5,0.8,1,1,0.2,0,0,0,0,0
SD-LyCOPOSE:1,0,0,0,0,0,0,0,0,0.2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
SD-LyCOKEEPBG:1,1,1,1,1,1,1,1,1,0.2,0.4,0.8,1,1,0.8,0.4,0.2,0.2,0,0,0.8,1,1,1,0,0
SD-LyCOPALETTE:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1,1,1,1,1
NOT:0,0,0,0,0,0,0,0,0,0,0,0
ALL:1,1,1,1,1,1,1,1,1,1,1,1
INS:1,1,1,0,0,0,0,0,0,0,0,0
IND:1,0,0,1,1,0,0,0,0,0,0,0
INALL:1,1,1,1,1,0,0,0,0,0,0,0
MIDD:1,0,0,1,1,1,1,1,1,0,0,0
OUTD:1,0,0,0,0,0,1,1,1,0,0,0
OUTS:1,0,0,0,0,0,0,0,0,1,1,1
OUTALL:1,0,0,0,0,0,1,1,1,1,1,1
BASE:1,0,0,0,0,0,0,0,0,0,0,0
IN04:1,1,0,0,0,0,0,0,0,0,0,0
IN05:1,0,1,0,0,0,0,0,0,0,0,0
IN07:1,0,0,1,0,0,0,0,0,0,0,0
IN08:1,0,0,0,1,0,0,0,0,0,0,0
MID:1,0,0,0,0,1,0,0,0,0,0,0
OUT00:1,0,0,0,0,0,1,0,0,0,0,0
OUT01:1,0,0,0,0,0,0,1,0,0,0,0
OUT02:1,0,0,0,0,0,0,0,1,0,0,0
OUT03:1,0,0,0,0,0,0,0,0,1,0,0
OUT04:1,0,0,0,0,0,0,0,0,0,1,0
OUT05:1,0,0,0,0,0,0,0,0,0,0,1
